sample_ID,node,colony_ID
MD7634,5,MD7634c
MD7634,22,MD7634df
MD7634,45,MD7634bq
MD7634,52,MD7634at
MD7634,70,MD7634dk
MD7634,72,MD7634es
MD7634,76,MD7634bs
MD7634,85,MD7634dz
MD7634,96,MD7634dt
MD7634,97,MD7634dq
MD7634,109,MD7634di
MD7634,114,MD7634eg
MD7634,118,MD7634ax
MD7634,126,MD7634cp
MD7634,149,MD7634ex
MD7635,5,MD7635du
MD7635,22,MD7635dm
MD7635,31,MD7635dc
MD7635,45,MD7635ca
MD7635,59,MD7635dh
MD7635,70,MD7635ac
MD7635,72,MD7635b
MD7635,82,MD7635ai
MD7635,85,MD7635dn
MD7635,96,MD7635bd
MD7635,98,MD7635dt
MD7635,109,MD7635bi
MD7635,114,MD7635h
MD7635,118,MD7635cz
MD7635,126,MD7635dk
